-------------------|---------|----------|---------|---------|----------------------------------------------------------------------------------------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                  
-------------------|---------|----------|---------|---------|----------------------------------------------------------------------------------------------------
All files          |    85.9 |    61.81 |     100 |   85.74 |                                                                                                    
 DB.js             |   84.84 |       50 |     100 |   85.38 | 34,47,60,73,86,99,112,125,138,151,164,177,190,203,216,229,247,260-261                              
 InternalOrder.js  |   86.53 |    59.61 |     100 |      86 | 31,44,60,63,78,103,114,129,143,145,160,181,198,200,214,239,250,261,272,282,292                     
 Item.js           |   89.28 |    66.66 |     100 |   89.09 | 19,32,47,75,86,97                                                                                  
 RestockOrder.js   |   85.86 |     62.5 |     100 |   85.55 | 23,44,62,76,89,105,116,139,154,167,181,206,217,233,245,256,268,281-282,296-297,301,310,320,330,340 
 ReturnOrder.js    |    87.5 |    65.38 |     100 |   87.32 | 23,25,40,55,68,113,126,140,151                                                                     
 SKU.js            |   86.74 |    60.71 |     100 |   86.58 | 27,38,41,52,65,95,106,117,128,139,150                                                              
 SKUItem.js        |   90.74 |    68.75 |     100 |   90.38 | 20,33,46,85,97                                                                                     
 TestDescriptor.js |   85.24 |    59.09 |     100 |   84.74 | 20,31,44,47,60,63,88,99,110                                                                        
 User.js           |   82.47 |    66.66 |     100 |   82.47 | 11,32,49-50,62-63,89-90,103-104,117-118,131-132,143,157-158                                        
 position_db.js    |   86.84 |       70 |     100 |   86.84 | 12-13,38,85-86,99-100,112-113,125                                                                  
 testResult_db.js  |   81.03 |     62.5 |     100 |   81.03 | 10-11,23,38-39,64-65,77-78,90-91                                                                   
-------------------|---------|----------|---------|---------|----------------------------------------------------------------------------------------------------
